count,function,id,label,is_selected
1,0,0,a,False
1,1,1,metric_linear_unit,False
1,0,2,a,False
1,1,3,metric_linear_unit,False
1,0,4,a,False
1,1,5,metric_linear_unit,False
1,0,6,a,False
1,1,7,metric_linear_unit,False
2,0,0,a,False
2,1,1,metric_linear_unit,False
2,0,2,a,False
2,1,3,metric_linear_unit,False
2,0,4,a,False
2,1,5,metric_linear_unit,False
2,0,6,a,False
2,1,7,metric_linear_unit,False
3,0,0,a,False
3,1,1,metric_linear_unit,False
3,0,2,a,False
3,1,3,metric_linear_unit,False
3,0,4,a,False
3,1,5,metric_linear_unit,False
3,0,6,a,False
3,1,7,metric_linear_unit,False
4,0,0,a,False
4,1,1,metric_linear_unit,False
4,0,2,a,False
4,1,3,metric_linear_unit,False
4,0,4,a,False
4,1,5,metric_linear_unit,False
4,0,6,a,False
4,1,7,metric_linear_unit,False
