count,function,id,label,is_selected
1,0,0,q,True
1,1,1,letter,False
1,0,2,q,True
1,1,3,letter,False
1,0,4,q,True
1,1,5,letter,False
1,0,6,q,True
1,1,7,letter,False
2,0,0,q,True
2,1,1,letter,False
2,0,2,q,True
2,1,3,letter,False
2,0,4,q,True
2,1,5,letter,False
2,0,6,q,True
2,1,7,letter,False
3,0,0,q,False
3,1,1,letter,False
3,0,2,q,True
3,1,3,letter,False
3,0,4,q,True
3,1,5,letter,False
3,0,6,q,True
3,1,7,letter,True
4,0,0,q,True
4,1,1,letter,False
4,0,2,table,False
4,1,3,array,False
4,2,4,periodic_table,True
4,3,5,calendar,False
4,4,6,table,True
4,0,7,q,True
4,1,8,letter,False
4,0,9,q,False
4,1,10,letter,False
4,5,11,panoply,False
4,5,12,contents,False
5,0,0,a,True
5,1,1,metric_linear_unit,False
5,0,2,a,True
5,1,3,metric_linear_unit,False
5,0,4,a,True
5,1,5,metric_linear_unit,False
5,0,6,a,True
5,1,7,metric_linear_unit,False
6,0,0,a,True
6,1,1,metric_linear_unit,False
6,0,2,a,False
6,1,3,metric_linear_unit,True
6,0,4,a,False
6,1,5,metric_linear_unit,False
6,0,6,a,True
6,1,7,metric_linear_unit,False
7,0,0,table,True
7,1,1,array,False
7,2,2,actuarial_table,False
7,3,3,calendar,False
7,4,4,shelf,False
7,0,5,table,False
7,1,6,array,False
7,2,7,contents,False
7,3,8,calendar,False
7,4,9,shelf,False
7,0,10,table,False
7,1,11,array,False
7,2,12,periodic_table,False
7,3,13,calendar,False
7,4,14,table,True
7,0,15,table,True
7,1,16,array,False
7,2,17,actuarial_table,False
7,3,18,calendar,False
7,4,19,table,True
7,5,20,panoply,False
7,5,21,bookshelf,False
7,5,22,bottom,False
7,5,23,lunar_calendar,False
8,0,0,table,True
8,1,1,array,False
8,2,2,actuarial_table,False
8,3,3,calendar,False
8,4,4,tray,False
8,0,5,table,True
8,1,6,array,False
8,2,7,actuarial_table,False
8,3,8,calendar,False
8,4,9,container,False
8,0,10,table,True
8,1,11,array,False
8,2,12,calendar,False
8,3,13,calendar,False
8,4,14,contents,False
8,0,15,table,True
8,1,16,array,False
8,2,17,correlation_table,False
8,3,18,calendar,False
8,4,19,table,False
8,5,20,panoply,False
8,5,21,turntable,False
8,5,22,drawer,False
8,5,23,contained,False
9,0,0,a,True
9,1,1,metric_linear_unit,False
9,0,2,a,True
9,1,3,metric_linear_unit,False
9,0,4,a,True
9,1,5,metric_linear_unit,False
9,0,6,a,True
9,1,7,metric_linear_unit,False
