count,function,id,label,is_selected
1,0,0,a,True
1,1,1,metric_linear_unit,False
1,0,2,b,False
1,1,3,eubacteria,False
1,2,4,yersinia_pestis,False
1,4,5,b,False
1,0,6,c,True
1,1,7,degree,False
1,2,8,standard_temperature,True
1,0,9,d,True
1,1,10,fat-soluble_vitamin,False
2,0,0,a,True
2,1,1,metric_linear_unit,False
2,0,2,a,True
2,1,3,metric_linear_unit,True
2,0,4,a,True
2,1,5,metric_linear_unit,False
2,0,6,a,False
2,1,7,metric_linear_unit,False
3,0,0,phone,False
3,1,1,electronic_equipment,False
3,2,2,speakerphone,False
3,3,3,extension,True
3,4,4,handset,False
3,0,5,phone,True
3,1,6,electronic_equipment,False
3,2,7,dial_telephone,False
3,3,8,extension,False
3,4,9,radiotelephone,True
3,0,10,phone,False
3,1,11,electronic_equipment,False
3,2,12,radiotelephone,False
3,3,13,extension,False
3,4,14,telephone,True
3,0,15,phone,False
3,1,16,electronic_equipment,False
3,2,17,dial_telephone,False
3,3,18,extension,False
3,4,19,call,False
3,5,20,wireless,False
3,5,21,reprieve,False
3,5,22,signal,False
