count,function,id,label,is_selected
1,0,0,vaccum_cleaner,False
1,0,1,fun,False
1,1,2,diversion,False
1,4,3,enjoy,True
1,0,4,cleaning,True
1,1,5,improvement,False
1,2,6,disinfestation,False
1,3,7,washup,False
1,4,8,cleaners,False
1,0,9,dust,False
1,1,10,particulate,False
1,2,11,chalk_dust,False
1,3,12,fallout,False
1,4,13,dust,False
1,5,14,scrubbing,True
1,5,15,dry_cleaners,False
1,5,16,gall,False
1,5,17,mopping,True
2,0,0,enjoy,False
2,1,1,pleasure,False
2,2,2,joie_de_vivre,False
2,3,3,joie_de_vivre,False
2,4,4,enjoy,False
2,0,5,cleaning,False
2,1,6,improvement,False
2,2,7,disinfestation,False
2,3,8,washup,True
2,4,9,clean,False
2,0,10,scrubbing,False
2,1,11,cleaning,False
2,2,12,swabbing,False
2,3,13,swabbing,False
2,4,14,rinsing,False
2,0,15,mopping,False
2,1,16,scrub,False
2,4,17,mop,False
2,5,18,humor,True
2,5,19,cleansing,False
2,5,20,rinse,True
2,5,21,bag,False
2,5,22,luster,True
3,0,0,washup,False
3,1,1,cleaning,False
3,2,2,turkish_bath,False
3,3,3,sponge_bath,False
3,4,4,toweling,False
3,0,5,humor,False
3,1,6,message,True
3,2,7,sarcasm,False
3,3,8,fun,False
3,4,9,review,True
3,0,10,rinse,False
3,1,11,hair_dye,False
3,4,12,shampoo,False
3,0,13,luster,False
3,1,14,brightness,True
3,4,15,radiance,False
3,5,16,stuff,False
3,5,17,terry,False
3,5,18,zany,False
3,5,19,fall,False
3,5,20,cunning,False
3,5,21,henna,False
3,5,22,laundry_detergent,False
3,5,23,temper,True
3,5,24,shit,False
4,0,0,message,False
4,1,1,communication,True
4,2,2,phone_message,False
4,3,3,broadcast,True
4,4,4,message,False
4,0,5,review,False
4,1,6,appraisal,False
4,2,7,stocktaking,False
4,3,8,stocktaking,False
4,4,9,fall,False
4,0,10,brightness,False
4,1,11,light,False
4,2,12,glare,False
4,3,13,luster,False
4,4,14,effulgence,False
4,0,15,temper,False
4,1,16,annoyance,True
4,4,17,chafe,False
4,5,18,stuffer,False
4,5,19,letter,False
4,5,20,border,False
4,5,21,glow,False
4,5,22,value,False
4,5,23,chafing,False
4,5,24,dullness,False
4,5,25,sparkle,True
5,0,0,communication,False
5,1,1,act,False
5,2,2,mail,False
5,3,3,contact,True
5,4,4,saturnalia,False
5,0,5,broadcast,False
5,1,6,message,False
5,2,7,rebroadcast,False
5,3,8,newscast,False
5,4,9,telecast,False
5,0,10,annoyance,False
5,1,11,psychological_state,False
5,2,12,huff,False
5,3,13,pinprick,False
5,4,14,embarrassment,False
5,0,15,sparkle,False
5,1,16,expression,False
5,4,17,spark,False
5,5,18,enactment,False
5,5,19,simulcast,False
5,5,20,confusion,True
5,5,21,vexation,False
5,5,22,miff,False
5,5,23,puniness,False
5,5,24,mortification,False
5,5,25,peroration,False
5,5,26,sportscast,False
5,5,27,light,False
5,5,28,blow,False
5,5,29,shit,False
5,5,30,verve,False
5,5,31,ignite,True
6,0,0,contact,False
6,1,1,interaction,False
6,2,2,eye_contact,False
6,3,3,brush,True
6,4,4,placement,False
6,0,5,confusion,False
6,1,6,disorder,False
6,2,7,bluster,False
6,3,8,chaos,False
6,4,9,disturbance,False
6,0,10,ignite,False
6,4,11,rekindle,False
6,0,12,cleaning,False
6,1,13,improvement,False
6,2,14,dry_cleaning,False
6,3,15,washup,False
6,4,16,cleaned,False
6,5,17,interplay,False
6,5,18,copse,False
6,5,19,demoralisation,False
6,5,20,pandemonium,True
6,5,21,scrubbing,False
6,5,22,reignite,False
6,5,23,kindle,False
6,5,24,disruption,False
6,5,25,dry_cleaners,False
6,5,26,shemozzle,False
