count,function,id,label,is_selected
1,0,0,dryer,False
1,1,1,appliance,False
1,2,2,clothes_dryer,False
1,3,3,clothes_dryer,False
1,4,4,clothes_dryer,False
1,0,5,beauty,False
1,1,6,appearance,True
1,2,7,pleasingness,False
1,3,8,glory,False
1,4,9,voluptuousness,False
1,0,10,heat,True
1,1,11,energy,False
1,2,12,heat_of_solution,False
1,4,13,cool,False
1,0,14,hair,False
1,1,15,body_covering,False
1,2,16,guard_hair,False
1,3,17,lock,False
1,4,18,beard,True
1,5,19,lamination,False
1,5,20,hair_dryer,True
1,5,21,comeliness,False
1,5,22,hairdo,False
1,5,23,loveliness,False
1,5,24,mane,False
2,0,0,appearance,False
2,1,1,quality,True
2,2,2,look,False
2,3,3,stain,False
2,4,4,hairiness,False
2,0,5,heat,False
2,1,6,energy,False
2,2,7,latent_heat,False
2,4,8,heat,True
2,0,9,beard,False
2,1,10,facial_hair,True
2,2,11,imperial,False
2,3,12,beaver,False
2,4,13,babylon,False
2,0,14,hair_dryer,False
2,1,15,blower,True
2,5,16,trait,False
2,5,17,hairlessness,False
2,5,18,blow_dryer,False
2,5,19,pattern,False
2,5,20,whiskers,False
2,5,21,fur,False
3,0,0,quality,False
3,1,1,attribute,False
3,2,2,unoriginality,False
3,3,3,power,False
3,4,4,limitlessness,False
3,0,5,heat,False
3,1,6,energy,False
3,2,7,geothermal_energy,False
3,4,8,heat,False
3,0,9,facial_hair,False
3,1,10,hair,True
3,2,11,beard,False
3,0,12,blower,False
3,1,13,device,False
3,2,14,bellows,False
3,3,15,bellows,False
3,4,16,radiator,False
3,5,17,powerfulness,True
3,5,18,hair_dryer,False
3,5,19,blow_dryer,False
3,5,20,handwheel,False
3,5,21,exhaust_manifold,False
3,5,22,mane,False
3,5,23,importance,False
3,5,24,fumble,False
